objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Cover_001,,,book cover,,11-19-2022,,education,,,,,,,image/jpeg,,,
coll002,Cover_002,,,book cover,,11-20-2022,,education,,,,,,,image/jpeg,,,
coll003,Cover_003,,,book cover,,11-21-2022,,education,,,,,,,image/jpeg,,,
coll004,Cover_004,,,book cover,,11-22-2022,,education,,,,,,,image/jpeg,,,
coll005,Cover_005,,,book cover,,11-23-2022,,education,,,,,,,image/jpeg,,,
